Episode_title	Episode_runtime	Released_on 
Don't Fear When Ganpati Is Here	20 mins	31 May 2020
A Unique Gift	20 mins	31 May 2020
The Morning Surprise	20 mins	31 May 2020
Gokuldham Society's Celebrations	21 mins	27 May 2020
Thanking Bhide For The Trip	20 mins	27 May 2020
Jethalal Loses The Key	18 mins	27 May 2020
Breaking The Door	20 mins	27 May 2020
Finding The Key	19 mins	27 May 2020
Celebrating The Joyful Moment	20 mins	27 May 2020
Newspapers Exchange	20 mins	27 May 2020
Bagha and Bawri's Mistake	19 mins	27 May 2020
Surprise For Bapuji	20 mins	27 May 2020
Bapuji's Plan	20 mins	27 May 2020
Bapuji Gets Worried	20 mins	27 May 2020
The Big Surprise	20 mins	27 May 2020
Discussing About The Competition	19 mins	27 May 2020
Navratri Celebrations	20 mins	27 May 2020
Navratri Night	20 mins	27 May 2020
Special Guests Arrive	20 mins	27 May 2020
Jethalal Completes His Work	19 mins	27 May 2020
Daya's Colorful plan	19 mins	27 May 2020
Jethalal's Day Off	19 mins	27 May 2020
Jethalal Cleans His House	20 mins	27 May 2020
The Cleaning Situation	20 mins	27 May 2020
The Big Mistake	19 mins	27 May 2020
Making A Mess	20 mins	27 May 2020
Taking The initiative	20 mins	27 May 2020
Diwali Meeting	19 mins	27 May 2020
Bhide Calls Shahrukh Khan	20 mins	27 May 2020
Shahrukh Khan Cancels The Plan	19 mins	27 May 2020
Jethalal's Efforts	19 mins	27 May 2020
Duplicate Shahrukh Khan	21 mins	27 May 2020
Shahrukh Khan's Entry	19 mins	27 May 2020
Diwali With Happy New Year Cast	20 mins	27 May 2020
Diwali Celebrations	20 mins	27 May 2020
Bad Day For Jethalal	19 mins	27 May 2020
Popatlal's Issue	19 mins	27 May 2020
Popatlal Wants A New Phone	19 mins	27 May 2020
Popatlal Meets A Girl	18 mins	27 May 2020
Jetha, The Prankster	18 mins	02 Jul 2020
The Confrontation	20 mins	02 Jul 2020
The Prank Backfires!	21 mins	02 Jul 2020
Bagha's Gift For Bawri	20 mins	27 May 2020
Jethalal Scolds Bagha	18 mins	27 May 2020
Bagha Takes Up Responsibility	19 mins	27 May 2020
Daya's Hard Work	18 mins	27 May 2020
Tapu Sena's Excitement	16 mins	27 May 2020
Tapu Starts Studying	20 mins	27 May 2020
Award For Valuable Contribution	20 mins	27 May 2020
Mother's Arrival	20 mins	27 May 2020
Welcome Preparation	20 mins	27 May 2020
Tappu Sena's Welcome Preparation	20 mins	27 May 2020
Recieving Daya's Mother	20 mins	27 May 2020
Jethalal Makes A Mistake	20 mins	27 May 2020
Jethalal Reaches At The Wrong Venue	19 mins	27 May 2020
Function Day	20 mins	27 May 2020
Jethalal's Trouble	20 mins	27 May 2020
Jethalal's Confusion	20 mins	27 May 2020
Exposing The Imposter	19 mins	27 May 2020
Sundar Disguised As Mother	20 mins	27 May 2020
Game Of Statue And Release	21 mins	27 May 2020
Stopping The Game	19 mins	27 May 2020
Game Has Taken A Turn	20 mins	27 May 2020
Jethalal's Revenge	20 mins	27 May 2020
Bhide Gets Angry	20 mins	27 May 2020
Bagha And Bawri Get Busted	19 mins	27 May 2020
Bagha and Bawri's Happiness	18 mins	27 May 2020
Bapuji Plays A Prank	20 mins	27 May 2020
Daya's Misconception	20 mins	27 May 2020
Jethalal Gets Special Dish	19 mins	27 May 2020
Ekta's Marriage Shopping	19 mins	27 May 2020
Jethalal Gets Upset	19 mins	27 May 2020
Madhavi Loses Her Purse	20 mins	27 May 2020
Daya Is Shocked	19 mins	28 May 2020
Jethalal Surprises Daya	19 mins	28 May 2020
Constrained By The Wives	20 mins	28 May 2020
Secret Meeting	19 mins	28 May 2020
Jethalal Calls For A Meeting	19 mins	28 May 2020
The Party Preparation	20 mins	28 May 2020
Popatlal Cancels The Party	20 mins	28 May 2020
Convincing Popatlal	20 mins	28 May 2020
Champaklal Gets Drunk	20 mins	28 May 2020
Champaklal Intoxicated	18 mins	28 May 2020
Champaklal Goes On A Ride	20 mins	28 May 2020
Police Chases Champaklal	19 mins	28 May 2020
Chalu Pandey Reaches Gokuldham	19 mins	28 May 2020
Champaklal's Blessing	20 mins	28 May 2020
Flying Kites	22 mins	28 May 2020
Madhavi's Excitment	20 mins	28 May 2020
Babita Scarf	20 mins	28 May 2020
Bhide and Madhavi's Happiness	19 mins	28 May 2020
Bhide's Investment	20 mins	28 May 2020
Champaklal's Miseries	21 mins	28 May 2020
Helping Champaklal	19 mins	28 May 2020
Champaklal Goes On A Ride	17 mins	28 May 2020
Jethalal Gets Angry	19 mins	28 May 2020
Chachaji Gets the Money	19 mins	28 May 2020
Chachaji Goes Missing	20 mins	28 May 2020
Bhide's New Bike	19 mins	28 May 2020
Bhide's Dream	19 mins	28 May 2020
Bhide's Bike Gets Scratched	19 mins	28 May 2020
Get Together Plan	19 mins	28 May 2020
Storytelling	19 mins	28 May 2020
Bagha's Poetry	19 mins	28 May 2020
Wives Expectations	20 mins	29 May 2020
Taarak's Motivation	20 mins	29 May 2020
Writing Poem	19 mins	29 May 2020
Competition Planning	19 mins	29 May 2020
Poetry Competition	20 mins	29 May 2020
Where Is Iyer?	19 mins	02 Jul 2020
Iyer Recieves The Award	19 mins	29 May 2020
Jethalal's Valentine	20 mins	29 May 2020
Madhvi's Plan	20 mins	29 May 2020
Ganesh Acharya's  Entry	19 mins	29 May 2020
Jethalal's Dinner Menu	19 mins	29 May 2020
Bagha's Marriage Plan	19 mins	29 May 2020
Jethalal's Lunch Box	19 mins	29 May 2020
Jethalal Gets Furious	19 mins	29 May 2020
Jethalal Skips His Meal	19 mins	29 May 2020
Bhide's Seek Help	18 mins	29 May 2020
Jethalal Gets Irritated	20 mins	29 May 2020
Bhide's Uncle Gets Hospitalized	19 mins	29 May 2020
Garba Practice	19 mins	29 May 2020
Daya and Jethalal's Fight	19 mins	29 May 2020
Popatlal Gets Angry	20 mins	29 May 2020
Sundar's Holi Plan	20 mins	29 May 2020
Daya Hides Jethalal's Wallet	20 mins	29 May 2020
Jethalal Gets Huge Order?	19 mins	29 May 2020
Madhavi Gets A Huge Order	20 mins	29 May 2020
Jethalal Scolds Bawri	19 mins	29 May 2020
Jethalal Invites Bawri	19 mins	29 May 2020
Bawri's Lies	17 mins	29 May 2020
Anjali's Writing	19 mins	29 May 2020
Dr	20 mins	29 May 2020
The Unknown Baby	19 mins	29 May 2020
Bhide Scolds Abdul	19 mins	29 May 2020
Bhide Gets Worried	20 mins	29 May 2020
Bhide's Bike Gets Stolen	18 mins	29 May 2020
Chalu Pandey Taking Actions	19 mins	29 May 2020
Jethalal Lies About Dieting	19 mins	29 May 2020
Popatlal And The Vegetable Vendor	20 mins	29 May 2020
Babita's Dinner Offer	19 mins	29 May 2020
Champaklal Scolds Jethalal	20 mins	29 May 2020
Shock Awaits Jethalal	18 mins	29 May 2020
Taking Care Of Baby	19 mins	29 May 2020
Difficulties With The Baby	19 mins	29 May 2020
Thanking Kushi	19 mins	29 May 2020
Finding Kushi's Parents	18 mins	29 May 2020
Confusing Situation	19 mins	29 May 2020
Finding Information About Kushi	20 mins	29 May 2020
Cross-Questioning Inspector Pandey	20 mins	29 May 2020
Playing It Smart	20 mins	29 May 2020
Happy By Kushi's Arrival	17 mins	29 May 2020
Kushi's Trip Jethalal's Shop	19 mins	29 May 2020
Jethalal Complains To Daya	20 mins	29 May 2020
Kushi Goes Missing	19 mins	29 May 2020
Kushi's Parents	19 mins	29 May 2020
Fake Parents	18 mins	29 May 2020
Kushi's Mother	18 mins	01 Jun 2020
Tracking Kushi's Mother	19 mins	01 Jun 2020
Finding The Reason	20 mins	01 Jun 2020
Khushi's Mother Surbhi	20 mins	01 Jun 2020
Surbhi's Condition	19 mins	01 Jun 2020
Surbhi's Story	19 mins	01 Jun 2020
Solving Surbi's Problem	20 mins	01 Jun 2020
Daya Gets Sad	20 mins	01 Jun 2020
Thought Of The Day	19 mins	01 Jun 2020
Jethalal Gets Seminar Invitation	21 mins	01 Jun 2020
Important Guest	17 mins	01 Jun 2020
Deepika Padukone's Entrance	15 mins	01 Jun 2020
Newspaper Thief	18 mins	01 Jun 2020
Advertisment In Marriage Bureau	20 mins	01 Jun 2020
Vishwajeet's Secret	19 mins	01 Jun 2020
Troublesome Ride For Jethalal	20 mins	01 Jun 2020
Popatlal's Trouble	20 mins	01 Jun 2020
Bride's Evil Plan	18 mins	01 Jun 2020
Popatlal's Bride To Be	19 mins	01 Jun 2020
Popatlal's Match-Fixing	20 mins	01 Jun 2020
Popatlal's Marriage Gets Fixed	19 mins	01 Jun 2020
Sapna Gets Annoyed	18 mins	03 Jun 2020
Popatlal's New Car	20 mins	03 Jun 2020
Fraud Fiance	41 mins	03 Jun 2020
Fake Minty	21 mins	03 Jun 2020
Popatlal's Mortgage	18 mins	03 Jun 2020
Popatlal's Trouble	20 mins	03 Jun 2020
Police Arrest The Culprits	21 mins	01 Jun 2020
Jethalal's Homecoming	19 mins	01 Jun 2020
Is Jetha The Real Thief?	20 mins	30 Jun 2020
Exam Results	20 mins	01 Jun 2020
Bhide Gets Worried	19 mins	01 Jun 2020
Urgent Meeting	19 mins	01 Jun 2020
Tapu Sena's Future Plan	17 mins	01 Jun 2020
Reporter At Gokuldham	20 mins	01 Jun 2020
Jethalal's Word To Daya	19 mins	01 Jun 2020
Jethalal's Weird Behavior	20 mins	01 Jun 2020
Sweater Day	20 mins	01 Jun 2020
Tension About The Results	19 mins	01 Jun 2020
Secret Of The Oath	18 mins	01 Jun 2020
Oath Continues	19 mins	01 Jun 2020
Tapu's Bad Dream	19 mins	01 Jun 2020
Assembling At Bhide's House	21 mins	01 Jun 2020
Result Day	20 mins	01 Jun 2020
Convincing Kunal	20 mins	01 Jun 2020
Bhide Gets Shocked	19 mins	01 Jun 2020
Discussing The College Admissions	20 mins	01 Jun 2020
Looking For Colleges	20 mins	01 Jun 2020
Jethalal Worries	19 mins	01 Jun 2020
Bagha's Suggestion	20 mins	01 Jun 2020
Say No To Influence	20 mins	01 Jun 2020
Lots Of Trouble	19 mins	05 Jun 2020
Seeking Setting Bhai's Help	21 mins	05 Jun 2020
The Transaction	19 mins	05 Jun 2020
Jethalal's Plan	17 mins	05 Jun 2020
Complaint Against I	19 mins	05 Jun 2020
Police Lock-Up	19 mins	05 Jun 2020
Pandey Asks For Evidence	20 mins	05 Jun 2020
Helping Jethalal And Taarak	17 mins	05 Jun 2020
The Non-Violence Rule	20 mins	05 Jun 2020
Khare's Social Message	19 mins	01 Jun 2020
Khare's Situation	19 mins	01 Jun 2020
Transforming Khare's Personality	21 mins	01 Jun 2020
Khare Is Being Honoured	20 mins	01 Jun 2020
Lighting The Lamp	20 mins	01 Jun 2020
The Social Message	19 mins	01 Jun 2020
Setting Bhai's Speech	21 mins	01 Jun 2020
Gandhigiri Mission Celebration	20 mins	01 Jun 2020
Sundar's Surprise	20 mins	01 Jun 2020
Daya Teases Jethalal	20 mins	01 Jun 2020
Argument Between Bhide And Jethalal	20 mins	
Shopping Day	19 mins	01 Jun 2020
Tapu's New Journey	20 mins	01 Jun 2020
First Day Of College	18 mins	01 Jun 2020
Jethalal Pleased With Tappu's Sharp Mind	19 mins	03 Aug 2015
Bagha Meets Bawri	20 mins	04 Aug 2015
Bagha Ki Samasya	19 mins	05 Aug 2015
Bagha Ke Liye Rishta	20 mins	06 Aug 2015
Bagha Intimidates Jethalal	19 mins	30 Jun 2020
Pyaar Mein Darna Mana Hai	21 mins	10 Aug 2015
Bagha Aur Bawri Ka Pyaar	19 mins	11 Aug 2015
Change In Bagha's Plan	19 mins	12 Aug 2015
Jethalal Gets A Huge Order	20 mins	13 Aug 2015
Surprise Visit	18 mins	14 Aug 2015
Bawri Ke Mata Pita	19 mins	17 Aug 2015
Bagha Ki Mangni	20 mins	18 Aug 2015
An Important Call	20 mins	19 Aug 2015
Popatlal's Umbrella Goes Missing	20 mins	20 Aug 2015
Popatlal's Precious Umbrella	20 mins	21 Aug 2015
Popatlal Wants His Old Umbrella	19 mins	24 Aug 2015
Popatlal's Pledge	19 mins	25 Aug 2015
Raksha Bandhan ki Tayyari	20 mins	26 Aug 2015
Sundar's Surprise For Daya	20 mins	27 Aug 2015
Jethalal Ki Mushkil	20 mins	28 Aug 2015
Daya Bhabhi Ki Zid	43 mins	29 Aug 2015
Dayas Visit To Ahmedabad	20 mins	31 Aug 2015
Sundar's Surprise For Daya	19 mins	01 Sep 2015
Sundar's Invitation For Jethalal	19 mins	02 Sep 2015
Gokuldham Mein Janmashtami	18 mins	03 Sep 2015
Gokuldham Ke Nand Aur Yashoda	20 mins	04 Sep 2015
Janmashtami Celebration In Gokuldham	20 mins	07 Sep 2015
Jethalal Ka Vachan	20 mins	08 Sep 2015
Babita concerned about water leakage	19 mins	09 Sep 2015
Popatlal's Advice To Iyer	20 mins	10 Sep 2015
Popatlal Ki Shikayat	20 mins	11 Sep 2015
Fight Between Iyer And Popatlal	20 mins	14 Sep 2015
Popatlal Agrees For Floor Repair	19 mins	15 Sep 2015
Jethalal Tries To Fix Water Flow	20 mins	16 Sep 2015
Problem Of Water Shortage Solved	20 mins	17 Sep 2015
Sodhi Breaks Bhide's Door	18 mins	18 Sep 2015
Home Trouble In Gokuldham	20 mins	21 Sep 2015
Jethalal Talks About Renovation	20 mins	22 Sep 2015
Gokuldham Mein Ganpatiji Ka Aagman	19 mins	23 Sep 2015
Ganpatiji Ki Sthapana	20 mins	24 Sep 2015
Jo Bhi Hoga Dekha Jayega	21 mins	25 Sep 2015
The Wheel Of Fortune	20 mins	30 Jun 2020
Champaklal's Gangnam Style	21 mins	29 Sep 2015
Qawwali In Gokuldham	18 mins	30 Sep 2015
Roshan And Tapu Sena's Act	19 mins	30 Jun 2020
Gokuldham Prepares For The Visarjan	20 mins	30 Jun 2020
Ghar Ka Renovation	19 mins	05 Oct 2015
Mobile Par Hungama	19 mins	06 Oct 2015
Discussion On Home Renovation	20 mins	07 Oct 2015
Saptrangi The Interior Designer	19 mins	08 Oct 2015
Saptrangi Takes Measurements	19 mins	09 Oct 2015
Saptrangi Completes Measurement Process	19 mins	12 Oct 2015
Saptrangi Showcases Interior Designs	19 mins	13 Oct 2015
Budget Session	20 mins	14 Oct 2015
Unity Of Gokuldham Residents	20 mins	15 Oct 2015
First Phase Of Renovation	20 mins	16 Oct 2015
Commencement Of Renovation	20 mins	19 Oct 2015
Saptrangi Supervises Renovation Work	20 mins	20 Oct 2015
Search Of Peaceful Environment	20 mins	21 Oct 2015
Lekh Ka Vishay	19 mins	22 Oct 2015
Pav Bhaji Treat	20 mins	23 Oct 2015
Relocating Of Building Material	21 mins	26 Oct 2015
Saptrangi Ki Shaadi	21 mins	27 Oct 2015
Interior Designer Ki Talaash	20 mins	28 Oct 2015
Undone Renovation	20 mins	29 Oct 2015
Red Signal For Renovation	20 mins	30 Oct 2015
Will Jetha Be Able To Convince The Workers?	20 mins	30 Jun 2020
A Plea To The Workers	19 mins	30 Jun 2020
Husbands Vs Wives	20 mins	30 Jun 2020
Men's Request To Their Wives	19 mins	30 Jun 2020
Restless Night	20 mins	06 Nov 2015
Electric Fault	19 mins	09 Nov 2015
Unique Celebration	20 mins	10 Nov 2015
Diwali In Gokuldham	21 mins	11 Nov 2015
Water Shortage	20 mins	12 Nov 2015
Last Stage Of Renovations	20 mins	13 Nov 2015
House Warming	20 mins	16 Nov 2015
Renovated Homes	18 mins	17 Nov 2015
Inspection	19 mins	18 Nov 2015
Soda Shop	21 mins	19 Nov 2015
Plot To Steal	18 mins	20 Nov 2015
Drama Competition	20 mins	23 Nov 2015
Bhide And His Sakharam	20 mins	24 Nov 2015
Killer Perfume	19 mins	25 Nov 2015
Robbery Successful	21 mins	26 Nov 2015
Popatlal Knows	20 mins	27 Nov 2015
Theft	20 mins	30 Nov 2015
Police Investigation	21 mins	01 Dec 2015
Abdul Catches The Thieves	20 mins	02 Dec 2015
Abdul's Bravery	20 mins	03 Dec 2015
Popatlal's Marriage	20 mins	04 Dec 2015
A Parent's Worry	21 mins	07 Dec 2015
Conspiracy Against Tapu	21 mins	08 Dec 2015
Tapu Asks Popatlal For Help	20 mins	09 Dec 2015
Popatlal Pretends To Be Jethalal	18 mins	10 Dec 2015
Popatlal Meets Nalini	20 mins	11 Dec 2015
Nalini Rejects Popatlal	20 mins	14 Dec 2015
Dilwale In Gokuldham	19 mins	15 Dec 2015
Daya's Request To Shahrukh	20 mins	16 Dec 2015
Popatlal Ki Kundli	16 mins	17 Dec 2015
Modelling	19 mins	18 Dec 2015
Babita's Unfullfilled Dreams	19 mins	21 Dec 2015
Babita's Signature	20 mins	22 Dec 2015
Jethalal's Surprise For Babita	19 mins	23 Dec 2015
Babita's Hoarding	20 mins	24 Dec 2015
Jethalal's Happiness	19 mins	25 Dec 2015
Babita's Tobacco Ad	19 mins	28 Dec 2015
Painting The Hoarding	18 mins	29 Dec 2015
Bawari Has Seen The Hoarding	19 mins	30 Dec 2015
Jethalal Is Guilty	20 mins	31 Dec 2015
Police Case	20 mins	01 Jan 2016
Rita's Report	21 mins	04 Jan 2016
Honest Mistake	20 mins	05 Jan 2016
Daya Plans Ahmedabad Trip	20 mins	06 Jan 2016
Jethalal's Social Service	19 mins	07 Jan 2016
Bagha And Bawari's Romance	19 mins	08 Jan 2016
Bhide's Beloved Iron	19 mins	11 Jan 2016
Popatlal's Great Search	FULL_HD119 mins	12 Jan 2016
Champaklal's Hunger	19 mins	13 Jan 2016
Jethalal's Bad Luck	20 mins	14 Jan 2016
Suvichar Kisne Likha	20 mins	15 Jan 2016
Bhide's Irregular Student	18 mins	18 Jan 2016
Bhide In A Romantic Mood	18 mins	19 Jan 2016
A Parent's Disappointment	20 mins	20 Jan 2016
Bhide Goes To Sonu's College	18 mins	21 Jan 2016
Tapu Sena's Samman Samaroh	20 mins	22 Jan 2016
A New Way To Explain	19 mins	25 Jan 2016
Republic Day Celebrations	21 mins	26 Jan 2016
Soda Fight	20 mins	27 Jan 2016
Masaledar Chai	20 mins	28 Jan 2016
Sacrificing Chai	21 mins	29 Jan 2016
No Other Option	21 mins	01 Feb 2016
Tea Stall Brawl	19 mins	02 Feb 2016
The Cleanliness Pledge	20 mins	03 Feb 2016
Jethalal's Mockery	20 mins	04 Feb 2016
Champaklal's Radio	20 mins	05 Feb 2016
Mobile Recharge	20 mins	08 Feb 2016
Bhide's Carrots	18 mins	09 Feb 2016
Newspaper Exchange	20 mins	10 Feb 2016
Locker's Keys	20 mins	11 Feb 2016
Aachar Papad Ka Payment	18 mins	12 Feb 2016
Drunken Man	20 mins	15 Feb 2016
Bhide Ki Lottery	20 mins	16 Feb 2016
Urgent Mid-Night Meeting	20 mins	17 Feb 2016
Breifcase At Jethalal's House	19 mins	18 Feb 2016
Bhide's Terrifying Dream	20 mins	19 Feb 2016
A Twist In The Story	20 mins	22 Feb 2016
Bhide Is Arrested	19 mins	23 Feb 2016
Bhide Inside The Lockup	20 mins	24 Feb 2016
Bhide Ki Azaadi	20 mins	25 Feb 2016
Seth Hirachand	20 mins	26 Feb 2016
Bhide Bachao Mission Begins	21 mins	29 Feb 2016
Proof against Dhanraj	20 mins	01 Mar 2016
The Clever Dhanraj	21 mins	02 Mar 2016
Daya's Mission	19 mins	03 Mar 2016
Vital Clue In Bhide's Case	20 mins	04 Mar 2016
Bhide Returns Home	21 mins	07 Mar 2016
Chalu Pandey At Bhide's House	21 mins	08 Mar 2016
Aabhar Ke Phool	21 mins	09 Mar 2016
Champaklal Ka Suvichar	20 mins	10 Mar 2016
Bawari's Concern	20 mins	11 Mar 2016
Champaklal Infuriated With Jethalal	19 mins	14 Mar 2016
Champaklal Ka Aadarsh Parivar	18 mins	15 Mar 2016
Champaklal's Anger	20 mins	16 Mar 2016
Mushibaton Ka Toofan	19 mins	17 Mar 2016
Jethalal Asks For Tapu's Help	19 mins	18 Mar 2016
Jethalal Plans A Surprise For Champaklal	18 mins	21 Mar 2016
Jethalal's Surprise Gone Wrong	20 mins	22 Mar 2016
Jethalal Vs Champaklal	20 mins	23 Mar 2016
Bagha Realizes His Mistake	20 mins	24 Mar 2016
Jethalal Falls Unconscious	19 mins	25 Mar 2016
Jethalal's Fast	20 mins	28 Mar 2016
Wrong Rail Tickets	20 mins	29 Mar 2016
Gogi's Dream College	20 mins	30 Mar 2016
Gogi's Bad Dream	20 mins	31 Mar 2016
Gogi Ka Exam	21 mins	01 Apr 2016
Gokuldham Residents Boost Gogi's Morale	39 mins	02 Apr 2016
Gogi's Fear For Exams	20 mins	04 Apr 2016
Gogi's Confidence	19 mins	05 Apr 2016
Happy Propose Day	19 mins	06 Apr 2016
Taarak's Diet Food	20 mins	07 Apr 2016
Iyer's Love Story	21 mins	08 Apr 2016
Mystery About Iyer And Babita's Marriage	20 mins	11 Apr 2016
Babita's Childhood Friend	20 mins	12 Apr 2016
Babita's Compromise	19 mins	13 Apr 2016
Iyer's Meeting At Soda Point	20 mins	14 Apr 2016
Iyer Is Heartbroken	19 mins	15 Apr 2016
Iyer is Missing	17 mins	18 Apr 2016
Sneaking Iyer In	19 mins	19 Apr 2016
Popatlal And Iyer	19 mins	20 Apr 2016
Morning Walk For Iyer	19 mins	21 Apr 2016
Balakrisnan's Reality	21 mins	02 Jul 2020
Iyer Needs Advice	19 mins	25 Apr 2016
Jethalal Decides To Meet Babita	20 mins	26 Apr 2016
Iyer Decides To Divorce Babita	20 mins	27 Apr 2016
Iyer's New Girlfriend	21 mins	28 Apr 2016
Mission Affair	20 mins	29 Apr 2016
Iyer Flirts With Sweety	19 mins	02 May 2016
Iyer's Affair Exposed	19 mins	03 May 2016
Confronting Iyer	19 mins	04 May 2016
Babita Calls A Divorce Lawyer	19 mins	05 May 2016
Bechara Iyer	19 mins	06 May 2016
C Wing Ka Vastu	19 mins	09 May 2016
Last Cab Ride Togethere	20 mins	10 May 2016
Iyer And Babita Togethere Again	19 mins	11 May 2016
Misunderstanding Over	18 mins	12 May 2016
Mohammad Azharuddin Calls Popatlal	20 mins	13 May 2016
Babita's Gift For Iyer	19 mins	16 May 2016
Sonu's Vacation Camp	19 mins	17 May 2016
Popatlal's Ujjain Trip	19 mins	18 May 2016
Madhavi's Mango Business	19 mins	19 May 2016
Confusion In Madhavi's New Business	20 mins	20 May 2016
Aam Ka Jaadu	19 mins	23 May 2016
Loss In New Business	20 mins	24 May 2016
Sundar Helps Madhavi	20 mins	25 May 2016
Awaiting Gogi's Result	20 mins	26 May 2015
Sodhi's Excitement	20 mins	27 May 2016
Gogi Ka SSC Result	20 mins	30 May 2016
Celebrations For Gogi's Result	17 mins	31 May 2016
Phone Banned In Gada Electronics	19 mins	01 Jun 2016
Bawri Aur Bagha Ka Chakravyuh	20 mins	02 Jun 2016
Bawri Aur Bagha Wali Samasya	18 mins	03 Jun 2016
Bawri's Parents In Gokuldham Society	20 mins	06 Jun 2016
Bawri's Parents at Jethalal's House	19 mins	07 Jun 2016
Jethalal Ka Balidaan	19 mins	08 Jun 2016
Bagha's Servant Jethalal	21 mins	09 Jun 2016
Baagha's Secret Is Revealed To The Society	19 mins	10 Jun 2016
